ID	Sex	Survival	TotalLength	AlarExtent	Weight	BeakHead	Humerus	Femur	Tibiotarsus	SkullWidth	Sternum
1	m	T	154	241	24.5	31.2	0.687	0.668	1.022	0.587	0.83
2	m	F	165	240	26.5	31	0.738	0.704	1.095	0.606	0.847
3	m	F	160	245	26.1	32	0.736	0.709	1.109	0.611	0.842
4	m	T	160	252	26.9	30.8	0.736	0.709	1.18	0.602	0.841
5	m	T	155	243	26.9	30.6	0.733	0.704	1.151	0.602	0.846
6	m	F	161	249	25.6	32.3	0.743	0.718	1.128	0.602	0.828
7	m	T	154	245	24.3	31.7	0.741	0.688	1.146	0.584	0.839
8	m	F	162	246	25.9	32.3	0.738	0.709	1.135	0.607	0.869
9	m	T	156	247	24.1	31.5	0.715	0.706	1.129	0.575	0.821
10	m	F	163	250	25.5	32.5	0.752	0.731	1.197	0.623	0.888
11	m	T	161	253	26.5	31.8	0.78	0.743	1.144	0.607	0.893
12	m	F	162	247	27.6	31.8	0.731	0.719	1.113	0.597	0.869
13	m	T	157	251	24.6	31.1	0.741	0.736	1.153	0.61	0.862
14	m	F	163	246	25.8	31.4	0.689	0.662	1.073	0.604	0.836
15	m	T	159	247	24.2	31.4	0.728	0.718	1.126	0.609	0.793
16	m	F	161	246	24.9	30.5	0.739	0.726	1.138	0.58	0.803
17	m	T	158	247	23.6	29.8	0.703	0.673	1.079	0.602	0.82
18	m	F	160	242	26	31	0.745	0.713	1.105	0.6	0.803
19	m	T	158	252	26.2	32	0.749	0.739	1.153	0.614	0.857
20	m	F	162	246	26.5	31.5	0.72	0.696	1.092	0.606	0.809
21	m	F	160	249	26	31.4	0.726	0.689	1.097	0.602	0.85
22	m	T	160	252	26.2	32	0.741	0.723	1.129	0.624	0.892
23	m	F	161	250	27.1	31.6	0.737	0.711	1.12	0.631	0.852
24	m	T	162	253	24.8	32.3	0.766	0.752	1.134	0.633	0.923
25	m	T	161	243	25.4	31.8	0.721	0.722	1.126	0.597	0.891
26	m	F	162	248	25.1	31.9	0.744	0.722	1.154	0.591	0.839
27	m	T	160	250	23.7	29.8	0.73	0.703	1.103	0.59	0.82
28	m	F	165	252	26	32.3	0.726	0.71	1.145	0.609	0.887
29	m	T	159	247	25.7	31.4	0.729	0.717	1.141	0.592	0.927
30	m	F	161	243	25.6	32.5	0.709	0.707	1.122	0.607	0.832
31	m	T	158	253	25.7	31.9	0.743	0.699	1.15	0.6	0.86
32	m	F	161	244	25	31.3	0.702	0.685	1.082	0.595	0.874
33	m	T	159	247	26.5	31.6	0.733	0.714	1.155	0.611	0.923
34	m	F	162	248	24.6	31	0.713	0.709	1.086	0.59	0.837
35	m	F	164	244	25	31.2	0.703	0.69	1.074	0.608	0.795
36	m	T	166	253	26.7	32.5	0.767	0.765	1.23	0.6	0.878
37	m	F	158	247	26	32	0.729	0.71	1.145	0.607	0.803
38	m	T	159	247	23.9	31.4	0.752	0.723	1.113	0.602	0.825
39	m	T	160	248	24.7	31.3	0.752	0.737	1.176	0.603	0.803
40	m	F	162	253	28.3	31.8	0.752	0.718	1.152	0.609	0.857
41	m	F	156	239	24.6	30.5	0.659	0.658	1.042	0.57	0.81
42	m	T	161	252	28	31.8	0.77	0.731	1.19	0.59	0.885
43	m	T	163	251	27.9	31.9	0.769	0.745	1.168	0.622	0.86
44	m	F	166	251	27.5	31.5	0.72	0.691	1.118	0.612	0.847
45	m	T	156	242	25.9	32	0.723	0.711	1.116	0.609	0.886
46	m	F	165	253	31	32.4	0.765	0.75	1.183	0.613	0.905
47	m	T	165	251	25.7	32.2	0.751	0.742	1.161	0.613	0.865
48	m	F	166	250	28.3	32.4	0.754	0.718	1.179	0.607	0.916
49	m	T	160	247	26.6	32.4	0.728	0.707	1.108	0.59	0.836
50	m	F	160	249	24.2	30.4	0.74	0.717	1.13	0.62	0.84
51	m	T	158	244	23.2	31.6	0.73	0.713	1.142	0.585	0.888
52	m	F	156	236	26.8	30.2	0.69	0.671	1.067	0.563	0.832
53	m	T	160	242	25.7	31.6	0.709	0.705	1.124	0.62	0.788
54	m	F	158	240	23.5	31	0.715	0.702	1.113	0.595	0.805
55	m	T	157	245	26.3	32.2	0.741	0.726	1.143	0.595	0.85
56	m	F	166	245	26.9	31.7	0.715	0.695	1.107	0.601	0.847
57	m	T	159	244	24.3	31.5	0.723	0.698	1.107	0.615	0.847
58	m	F	165	255	28.6	31.5	0.706	0.744	1.175	0.613	0.854
59	m	T	160	253	26.7	32.1	0.739	0.714	1.117	0.592	0.864
60	m	F	157	238	24.7	31.2	0.68	0.677	1.156	0.599	0.769
61	m	T	158	245	24.9	31.4	0.726	0.703	1.119	0.58	0.854
62	m	F	164	250	27.3	31.8	0.764	0.726	1.171	0.588	0.86
63	m	T	161	247	23.8	31.4	0.735	0.694	1.101	0.602	0.789
64	m	F	166	256	25.7	31.7	0.752	0.751	1.187	0.595	0.858
65	m	T	160	247	25.6	32.3	0.756	0.745	1.135	0.607	0.902
66	m	F	167	255	29	32.2	0.765	0.745	1.197	0.638	0.855
67	m	T	160	247	27	32	0.755	0.736	1.174	0.631	0.873
68	m	F	161	246	25	31.5	0.739	0.707	1.123	0.587	0.85
69	m	T	153	241	24.7	32.2	0.728	0.68	1.092	0.592	0.884
70	m	F	166	254	27.5	31.4	0.76	0.742	1.124	0.604	0.914
71	m	T	156	246	24.6	32	0.741	0.735	1.167	0.592	0.849
72	m	F	161	251	26	31.5	0.731	0.707	1.122	0.589	0.828
73	f	F	155	240	26.3	31.4	0.709	0.71	1.125	0.614	0.815
74	m	T	156	245	25.5	32.1	0.761	0.717	1.147	0.62	0.816
75	f	F	156	240	25.8	31.5	0.715	0.678	1.127	0.597	0.812
76	m	T	163	248	24.8	32.2	0.742	0.733	1.165	0.606	0.854
